X Y RA DEC F200W
182.32193286789357 1491.59132673003 53.14385714815411 -27.81354187913432 11092.9833984375
1397.7502070593218 1399.6614644812544 53.13240556400866 -27.814308143139048 6625.84912109375
1811.8466925901878 49.20345130890928 53.128503220224914 -27.825561805978747 3576.3310546875
975.5523553937281 1123.6214029364585 53.13638347839222 -27.816608520891737 3488.3525390625
762.0257664275402 413.74691595003355 53.13839548103168 -27.822524120404218 2892.879638671875
1935.4854752536007 1893.3948558518048 53.12733940306845 -27.8101934773358 2687.180419921875
1195.9622808523645 1592.9315256422374 53.13430681311279 -27.812697594510276 2678.51953125
887.2993658016501 1228.946301554332 53.13721499618335 -27.815730808179396 2593.58984375
48.57689901883555 1926.8921093004744 53.145116964202444 -27.80991429500076 1985.2576904296875
1870.9150105663362 153.02874477543855 53.12794669052847 -27.82469656433713 1868.652099609375
1010.7292718940525 1485.177413842739 53.13605203461427 -27.81359555483409 997.3939819335938
1778.36835304661 2034.0400614896698 53.12881976501943 -27.80902151765091 923.339111328125
1608.7123843236627 1366.527808347272 53.13041788608529 -27.814584192292973 905.9381103515625
1406.692724934808 1798.3660080604895 53.13232141884175 -27.81098560314395 809.5197143554688
302.9833495211169 466.56879794660836 53.142720831129054 -27.822083793746206 789.469482421875
361.55334856201125 1456.6962729404731 53.14216847684866 -27.813832757432934 769.0083618164062
2035.544425874234 892.0526575350617 53.12639596132193 -27.81853793399418 746.5419921875
894.159186314111 1295.6279264332654 53.13715035655356 -27.815175128557456 700.689208984375
773.1288119849171 1989.5885742675512 53.13829057552089 -27.80939210848345 665.5238647460938
1503.3443689646172 1316.056395250435 53.13141063770899 -27.81500482324543 591.398681640625
1763.1627208774369 468.0381462882034 53.12896218700751 -27.82207154070288 577.6536254882812
1219.92372187176 1214.6820563719828 53.134081000647754 -27.815849670590723 556.378173828125
442.33442563851247 24.669188818011094 53.14140797150011 -27.82576634847973 545.7890625
1541.9038935125513 279.1515257694565 53.131046943197255 -27.82364568480638 541.2824096679688
2046.3979802686163 1363.9362745158558 53.12629404510645 -27.814605563518345 489.4419250488281
150.98958421696045 768.654632868057 53.144152812570795 -27.819566334338163 484.6767578125
368.58058819808616 717.230983683175 53.14210261764641 -27.819994971095255 465.2862243652344
1746.7299950857555 512.2071232086087 53.12911704861019 -27.8217034735829 446.846923828125
822.7899729379579 111.91934263662893 53.13782296752981 -27.825039359150587 438.87274169921875
1494.332794680618 2017.2725924610818 53.131495782824985 -27.809161357745108 433.74761962890625
256.60963264599 1246.9669544452393 53.143157357768004 -27.81558045376341 430.9410705566406
413.1965282393719 1121.1266085111743 53.141682050456254 -27.816629192306372 426.5308532714844
966.4546212772073 81.86155884874404 53.13646924147207 -27.82528985256788 384.86505126953125
943.174203550727 540.4549746739368 53.136688582552196 -27.82146823978182 384.3624267578125
1397.8817269937224 2019.91625949598 53.13240449250331 -27.80913935321385 349.391845703125
748.2829990497994 573.5832637649321 53.13852494190108 -27.82119214848517 338.998046875
1776.2696550966907 1043.8140118017743 53.12883899919372 -27.817273402285316 322.2507019042969
174.17751896197308 949.7193618333519 53.14393421639773 -27.81805747438739 320.76300048828125
795.4992593550403 1947.9169260129092 53.138079819893015 -27.809739375639907 310.68243408203125
529.0138281115067 1141.675687015822 53.14059080110329 -27.816457990935252 286.5830383300781
1617.3969673122417 315.60295642491553 53.13033560970492 -27.82334189605626 271.044921875
653.3490218628755 142.175028893761 53.1394195723997 -27.824787197443648 268.9938049316406
899.1495735622689 407.0104242680924 53.13710341748478 -27.822580274798664 268.2569885253906
1619.5337501641845 142.4962459302791 53.13031540093174 -27.824784451138243 261.9953308105469
369.3621358205485 1167.7695370596975 53.14209504033713 -27.8162404835015 251.2696533203125
1086.6752811398048 1368.3233505238427 53.13533647852967 -27.81456933749211 248.24110412597656
652.2381665086123 1734.2281784149664 53.13942961181386 -27.811520087686667 245.01112365722656
1107.7916409074812 1943.657880289506 53.13513755673635 -27.80977488213234 241.78167724609375
759.3437069207855 1149.0720264337726 53.138420612313084 -27.816396410717722 217.9842987060547
843.1844934172492 1334.5104310806257 53.13763063361589 -27.814851102623145 215.71328735351562
1965.61714743234 150.38273819905442 53.12705432958925 -27.824718560215725 210.6448974609375
1110.7765164940517 1929.7906550515354 53.135109433849685 -27.809890442177874 205.15341186523438
1332.2555715212022 938.2485526984791 53.1330225448829 -27.818153265009844 204.5206756591797
1669.137265967785 1500.7029080446505 53.129848630211164 -27.813466042713404 202.62002563476562
1264.5364559750594 1462.4477016950718 53.13366070118105 -27.81378495066017 197.02044677734375
980.8850825821518 230.10252112522005 53.13633326077773 -27.824054511699977 187.7600555419922
47.79377452889719 1261.504733090622 53.14512481205008 -27.815459189200055 185.01730346679688
489.63964393694846 3.1179846114130214 53.140962227899095 -27.825945958730454 184.95501708984375
665.9726459569415 1715.4831386156502 53.1393002151365 -27.811676299553916 177.0945587158203
1819.340024597818 1850.863043322976 53.128433647616745 -27.81054797246674 171.31680297851562
1068.293697391552 8.808191955684492 53.135509624793364 -27.825898631044634 169.68235778808594
884.2922705519792 711.4989088810387 53.13724338136819 -27.820042869515817 167.51864624023438
390.7130717605082 76.99246727976367 53.14189436994213 -27.825330301109183 166.6385498046875
1513.923658241833 1188.2485404945999 53.131310914821285 -27.81606988541861 165.60133361816406
863.0303408968902 602.5293196464611 53.137443732345 -27.820950947378776 162.48931884765625
327.2366245879248 354.6595298118491 53.14249235929196 -27.823016381964205 153.2992706298828
